doro,one,two,three,delta
서울특별시 강동구 동남로49길 60-5,2311,2778,2957,646 
서울특별시 강동구 동남로71길 19,2754,3303,4236,1482 
서울특별시 강동구 동남로71길 38,1764,1809,2042,278 
서울특별시 강동구 동남로71길 41,2561,2528,3272,711 
서울특별시 강동구 동남로73길 26,1658,1922,2124,466 
서울특별시 강동구 동남로79길 26,3228,4346,3726,498 
서울특별시 강동구 명일로 102,2531,2316,3828,1297 
서울특별시 강동구 명일로 110,1728,2042,2338,610 
서울특별시 강동구 명일로 113,2275,2936,3508,1233 
서울특별시 강동구 명일로 143,2061,2489,2522,461 
서울특별시 강동구 명일로 152,1848,0,2332,484 
서울특별시 강동구 명일로 158-5,1527,0,1598,71 
서울특별시 강동구 명일로 172,3293,3497,4578,1285 
서울특별시 강동구 명일로 238,1428,1637,1831,403 
서울특별시 강동구 명일로 260,1748,2488,2288,540 
서울특별시 강동구 명일로 286,2385,2098,3252,867 
서울특별시 강동구 명일로 293,2192,2716,3222,1030 
서울특별시 강동구 명일로 376,2961,2577,4195,1234 
서울특별시 강동구 명일로10가길 24,2229,2170,2189,-40 
서울특별시 강동구 명일로12길 56,2395,2758,2512,117 
서울특별시 강동구 명일로13길 38,1982,2006,1670,-312 
서울특별시 강동구 명일로17길 18,1496,0,2351,855 
서울특별시 강동구 명일로17길 40,1923,0,2072,149 
서울특별시 강동구 명일로24길 11-9,1715,1544,1777,62 
서울특별시 강동구 명일로26길 20,1928,2041,2316,388 
서울특별시 강동구 상암로 11,2744,2944,3792,1048 
서울특별시 강동구 상암로 210-32,1585,1795,2341,756 
서울특별시 강동구 상암로 224,2795,2902,4070,1275 
서울특별시 강동구 상암로 225,2660,4293,3559,899 
서울특별시 강동구 상암로 251,2926,3009,3971,1045 
서울특별시 강동구 상암로12길 13,2160,2538,2638,478 
서울특별시 강동구 상암로12길 24,1791,2464,2818,1027 
서울특별시 강동구 상암로12길 32,1711,0,2132,421 
서울특별시 강동구 상암로23길 14,1477,1710,1710,233 
서울특별시 강동구 상암로3길 54,1836,0,2314,478 
서울특별시 강동구 상암로3길 77,2673,2911,3162,489 
서울특별시 강동구 상암로41가길 40,1286,0,1474,188 
서울특별시 강동구 상암로41길 29,1761,0,1996,235 
서울특별시 강동구 상암로41길 45,1673,1738,2147,474 
서울특별시 강동구 상암로41길 61,1663,1859,1968,305 
서울특별시 강동구 상암로41길 79,1098,1843,2157,1059 
서울특별시 강동구 상암로41길 89,1683,2195,2493,810 
서울특별시 강동구 상암로41길 89-7,1515,0,2052,537 
서울특별시 강동구 상암로47길 38,1597,1755,1909,312 
서울특별시 강동구 상암로47길 80-16,2081,2139,2178,97 
서울특별시 강동구 상암로49길 13,1854,2051,2345,491 
서울특별시 강동구 상암로51길 54,2580,2898,3312,732 
서울특별시 강동구 상암로51길 61,2449,2642,3160,711 
서울특별시 강동구 상암로81길 7,1662,2172,2170,508 
서울특별시 강동구 상일로 152,2270,2794,3423,1153 
서울특별시 강동구 상일로 74,2716,2995,3593,877 
서울특별시 강동구 선사로 120,2718,3288,3456,738 
서울특별시 강동구 선사로 138,2236,2178,2390,154 
서울특별시 강동구 성내로 54,3421,3515,3482,61 
서울특별시 강동구 성내로 80,3364,3487,5043,1679 
서울특별시 강동구 성내로 91,3110,3177,2976,-134 
서울특별시 강동구 성내로14길 18,2284,2483,2528,244 
서울특별시 강동구 성내로18길 13,1504,0,2193,689 
서울특별시 강동구 성내로18길 41,1826,2028,1989,163 
서울특별시 강동구 성내로6가길 29,2353,2315,2665,312 
